Číslo,Jméno,Název 1,Název 2,Typ zdroje,Rok publikace,Rok sběru,Lok. - bod,Lok. - oblast,Bibliografie,Náš zdroj
79,"BLAHUTKA, B.","Naše řeč, přísloví, přirovnání.",,Rukopis,1942–1943,1943,Věteřov HO,,1942–1943.,Excely
80,"BLAHUTKA, B.",Věterský slovník.,,Rukopis,1926–1962,1950,Věteřov HO,,1926–1962.,Excely
81,"BLATNÝ, L.",Řícmanice BO.,,Excerpta,1913,1913,Řícmanice BO,,1913.,Bara
82,"BLAŽKOVÁ-PŘÍLESKÁ, M.",Police VS.,,Excerpta,1959,1959,Police VS,,1959.,Bara
83,"BLAŽKOVÁ-PŘÍLESKÁ, M.",Police VS.,,Excerpta,1960,1960,Police VS,,1960.,Bara
84,"BLAŽKOVÁ-PŘÍLESKÁ, M.",Slovácko.,,Excerpta,1960,1960,,,1960.,Bara
85,"BLAŽKOVÁ-PŘÍLESKÁ, M.",Těšetice OL (Vojnice).,,Excerpta,1960,1960,Těšetice OL (Vojnice),,1960.,Bara
86,"BLAŽKOVÁ-PŘÍLESKÁ, M.",Velká nad Veličkou HO.,,Excerpta,1960,1960,Velká nad Veličkou HO,,1960.,Bara
87,"BLAŽKOVÁ-PŘÍLESKÁ, M.",Zašová VS.,,Excerpta,1959,1959,Zašová VS,,1959.,Bara
88,"BLAŽKOVÁ-PŘÍLESKÁ, M.",Zašová VS.,,Excerpta,1960,1960,Zašová VS,,1960.,Bara
89,"BLAŽKOVÁ-PŘÍLESKÁ, M.",Zubří VS.,,Excerpta,1959,1959,Zubří VS,,1959.,Bara
90,"BLAŽKOVÁ-PŘÍLESKÁ, M.",Zubří VS.,,Excerpta,1960,1960,Zubří VS,,1960.,Bara
91,"BORDOVSKÁ, J.",Nářeční terminologie truhlářství na Rožnovsku.,,Studentská práce,2006,2006,,Rožnovsko,"Brno, 2006.",Excely
92,"BOROCKÝ, J.",Hanácké slovňik (Hanácký slovník) středohanáckyho nářeči.,,Kniha,2016,,,vých. Prostějovsko [Borocký],[online]. [cit. 2016-02-01]. Dostupné z: http://hanackyslovnik.wz.cz,Texty a slovníky
93,"BOXAN, S.",Hornohanácké nářečí.,,Rukopis,1948,1948,Zábřeh SU,,1948.,Bara
94,"BRHELOVÁ, J.","Diferenční slovní zásoba dolského nářečí v obcích Ježov, Vřesovice a Kyjov.",,Studentská práce,1996,1996,,,"Brno, 1996.",Bara
95,"BŘENĚK, O.",Loceper.,,Kniha,1921,1921,Vanovice BK,,"Brno: Družstvo Moravsko-Slezské revue, 1921.",Texty a slovníky
96,"BŘENĚK, O.",Pšišery 1. Jan Válek.,,Kniha,1921,1921,Vanovice BK,,"Brno: Kramerius, 1921.",Texty a slovníky
97,"BUBÍLKOVÁ, A.",Na solanském fojtství.,Naše Valašsko,Článek v časopise,1937–1938,1937,Hutisko-Solanec VS (Solanec pod Soláněm),,"Naše Valašsko. 1937–1938, roč. 4, s. 26–34, 68-77, 128-137, 185-193.",Texty a slovníky
98,"BUCHLOVAN, B. B.",Podívat se do Bylan.,,Kniha,1948,1948,,,"Praha: V. Šmidt, 1948.",Bara
99,"BUCHLOVAN, B. B.",Za naším huménkem.,,Kniha,1935,1935,Tučapy UH,,"Brno: Družstvo Moravského kola spisovatelů, 1935.",Texty a slovníky
100,"BURYŠKA, J.",Charakteristika nářečí vanovického.,,Studentská práce,1928,1928,Vanovice BK,,"Praha, 1928.",Bara
101,"BUŽEK, J.",Nářečí místecké.,,Studentská práce,1930,1930,Palkovice FM,,"Praha, 1930.",Bara
102,"BYSTŘICKÝ, M. K.",Figurky zpod Radhoště. Humoresky.,,Kniha,1940,1940,Vidče VS,,"Prostějov: Kolej salvatoriánů, 1940.",Texty a slovníky
103,"BYSTŘINA, O.",Hanácká legenda. Starohanácké romancero.,,Kniha,1948,1903,Věrovany OL,,"Olomouc: R. Promberger, 1948.",Bara; Texty a slovníky
104,"BYSTŘINA, O.",Hanácké figurky.,,Kniha,1924,1890,Věrovany OL,,"Olomouc: Ignác Hofírek, 1924.",Texty a slovníky
